source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
MED	12012294	Artificial neural networks for diagnosis and prognosis in prostate cancer.	2002	Semin Urol Oncol	Schwarzer G, Schumacher M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	12508689	Neural network-based segmentation and classification system for automated grading of histologic sections of bladder carcinoma.	2002	Anal Quant Cytol Histol	Spyridonos P, Cavouras D, Ravazoula P, Nikiforidis G.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11844812	Novel artificial neural network for early detection of prostate cancer.	2002	J Clin Oncol	Djavan B, Remzi M, Zlotta A, Seitz C, Snow P, Marberger M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	12946746	An artificial neural network to predict the outcome of repeat prostate biopsies.	2003	Urology	Remzi M, Anagnostou T, Ravery V, Zlotta A, Stephan C, Marberger M, Djavan B.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	14519642	Artificial intelligence in predicting bladder cancer outcome: a comparison of neuro-fuzzy modeling and artificial neural networks.	2003	Clin Cancer Res	Catto JW, Linkens DA, Abbod MF, Chen M, Burton JL, Feeley KM, Hamdy FC.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	16985612	Artificial neural networks for decision-making in urologic oncology.	2003	Rev Urol	Anagnostou T, Remzi M, Djavan B.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	14989489	Classification of prostatic carcinoma with artificial neural networks using comparative genomic hybridization and quantitative stereological data.	2003	Pathol Res Pract	Mattfeldt T, Gottfried HW, Wolter H, Schmidt V, Kestler HA, Mayer J.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	14606364	Combining artificial neural networks and transrectal ultrasound in the diagnosis of prostate cancer.	2003	Oncology (Williston Park)	Porter CR, Crawford ED.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	12576812	Neural network using combined urine nuclear matrix protein-22, monocyte chemoattractant protein-1 and urinary intercellular adhesion molecule-1 to detect bladder cancer.	2003	J Urol	Parekattil SJ, Fisher HA, Kogan BA.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	14518736	Neural network-based assessment of prognostic markers and outcome prediction in bilharziasis-associated bladder cancer.	2003	IEEE Trans Inf Technol Biomed	Ji W, Naguib RN, Ghoneim MA.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
		Urinary bladder tumor grade diagnosis using on-line trained neural networks	2003		Tasoulis		backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	15596191	Preoperative neural network using combined magnetic resonance imaging variables, prostate-specific antigen, and gleason score for predicting prostate cancer biochemical recurrence after radical prostatectomy.	2004	Urology	Poulakis V, Witzsch U, de Vries R, Emmerlich V, Meves M, Altmannsberger HM, Becht E.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	15066290	Use of artificial neural networks to predict biological outcomes for patients receiving radical radiotherapy of the prostate.	2004	Radiother Oncol	Gulliford SL, Webb S, Rowbottom CG, Corne DW, Dearnaley DP.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	19945780	Novel use of a combined artificial intelligence approach to identify patients with noninvasive urothelial cell carcinoma of the urinary bladder who are at greatest risk for progression to muscle-invasive disease: a step forward.	2010	Eur Urol	DeGraff DJ.	comment; editorial	forward	1	REC-AIBIOGU-000370	new		yes	yes	yes
MED	22056212	Outcome assessment of patients with metastatic renal cell carcinoma under systemic therapy using artificial neural networks.	2012	Clin Genitourin Cancer	Buchner A, Kendlbacher M, Nuhn P, Tüllmann C, Haseke N, Stief CG, Staehler M.	clinical trial; journal article	forward	1	REC-AIBIOGU-000370	new		yes	yes	yes
MED	26441442	MAPS: A Quantitative Radiomics Approach for Prostate Cancer Detection.	2015	IEEE Trans Biomed Eng	Cameron A, Khalvati F, Haider MA, Wong A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000148	new		yes	yes	yes
MED	26362074	Machine learning approaches to analyze histological images of tissues from radical prostatectomies.	2015	Comput Med Imaging Graph	Gertych A, Ing N, Ma Z, Fuchs TJ, Salman S, Mohanty S, Bhele S, Velasquez-Vacca A, Amin MB, Knudsen BS.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	27542201	An imaging-based approach predicts clinical outcomes in prostate cancer through a novel support vector machine classification.	2016	Oncotarget	Zhang YD, Wang J, Wu CJ, Bao ML, Li H, Wang XN, Tao J, Shi HB.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	29188191	Prostate cancer radiomics and the promise of radiogenomics.	2016	Transl Cancer Res	Stoyanova R, Takhar M, Tschudi Y, Ford JC, Solorzano G, Erho N, Balagurunathan Y, Punnen S, Davicioni E, Gillies RJ, Pollack A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000102	new		yes	yes	yes
MED	26459038	Use of Artificial Intelligence and Machine Learning Algorithms with Gene Expression Profiling to Predict Recurrent Nonmuscle Invasive Urothelial Carcinoma of the Bladder.	2016	J Urol	Bartsch G, Mitra AP, Mitra SA, Almal AA, Steven KE, Skinner DG, Fry DW, Lenehan PF, Worzel WP, Cote RJ.	journal article; research support, n.i.h., extramural	forward	1	REC-AIBIOGU-000370	new		yes	yes	yes
MED	29854182	A Multi-scale U-Net for Semantic Segmentation of Histological Images from Radical Prostatectomies.	2017	AMIA Annu Symp Proc	Li J, Sarma KV, Chung Ho K, Gertych A, Knudsen BS, Arnold CW.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
		Nuclear architecture analysis of prostate cancer via convolutional neural networks	2017	IEEE Access	Kwak		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	29133818	Searching for prostate cancer by fully automated magnetic resonance imaging classification: deep learning versus non-deep learning.	2017	Sci Rep	Wang X, Yang W, Weinreb J, Han J, Li Q, Kong X, Yan Y, Ke Z, Luo B, Liu T, Wang L.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	30104757	Automated Gleason grading of prostate cancer tissue microarrays via deep learning.	2018	Sci Rep	Arvaniti E, Fricker KS, Moret M, Rupp N, Hermanns T, Fankhauser C, Wey N, Wild PJ, Ruschoff JH, Claassen M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	30167812	Clear Cell Renal Cell Carcinoma: Machine Learning-Based Quantitative Computed Tomography Texture Analysis for Prediction of Fuhrman Nuclear Grade.	2018	Eur Radiol	Bektas CT, Kocak B, Yardimci AH, Turkcanoglu MH, Yucetas U, Koca SB, Erdim C, Kilickesmez O.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	30527316	Clear cell renal cell carcinoma: CT-based radiomics features for the prediction of Fuhrman grade.	2018	Eur J Radiol	Shu J, Tang Y, Cui J, Yang R, Meng X, Cai Z, Zhang J, Xu W, Wen D, Yin H.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
